Designator,Mid X,Mid Y,Rotation,Layer
_2,9.64968,-107.29973,0.0,top
,-9.34936,-107.29973,0.0,top
BATTERY1,13.3,-12.5,90.0,top
BZ1,-2.3,-50.9,180.0,top
C1,7.5,-75.25,0.0,top
C10,2.25,-35.175,270.0,top
C11,0.7,-35.175,270.0,top
C12,6.3,-29.6,0.0,top
C13,-7.35,-30.3,180.0,top
C14,-1.7,-21.15,90.0,top
C15,6.3,-25.0,0.0,top
C16,-3.15,-37.475,180.0,top
C17,-0.075,-37.475,180.0,top
C18,-5.55,-19.1,180.0,top
C19,4.35,-10.5,270.0,top
C2,7.5,-72.75,0.0,top
C20,10.5,-10.45,270.0,top
C21,12.65,-33.25,0.0,top
C22,12.65,-26.85,0.0,top
C23,10.175,-15.8,180.0,top
C24,9.748895,-6.0964,270.0,top
C3,2.888895,-104.0264,90.0,top
C4,-7.35,-25.6,180.0,top
C5,-8.9862,-74.3626,90.0,top
C6,3.0,-21.15,90.0,top
C7,4.6,-21.15,90.0,top
C8,-3.25,-21.15,90.0,top
C9,6.3,-23.45,0.0,top
D1,10.85,-22.25,90.0,top
D10,7.598895,-34.9464,90.0,top
D11,1.7,-8.15,0.0,top
D12,-13.5125,-38.0,0.0,top
D13,-0.45,-8.15,180.0,top
D14,-7.45,-4.2,180.0,top
D15,-14.301105,-8.1964,0.0,top
D2,5.75,-85.75,0.0,top
D3,6.711,-65.397,90.0,top
D4,16.05,-59.65,90.0,top
D5,-5.6334,-65.5996,90.0,top
D6,14.3125,-17.7,180.0,top
D7,-8.148,-90.263,90.0,top
D8,13.9125,-38.0,180.0,top
D9,-13.5125,-35.7,0.0,top
J1,0.9198,-113.2246,270.0,top
J2,0.02,-2.35,180.0,top
J3,4.806,-91.8358,0.0,top
J5,5.45,-47.53,180.0,top
J6,-18.15,-12.45,0.0,top
MH1_5,16.0,-67.65,0.0,top
MH1_4,-16.0,-67.65,0.0,top
MH1_3,16.0,-105.0,0.0,top
MH1_2,-16.0,-105.0,0.0,top
MH1,-16.0,-3.5,0.0,top
P2,-12.5,-58.25,0.0,top
P3,5.46,-58.25,0.0,top
Q1,0.742,-69.796,90.0,top
Q2,-4.7892,-99.6504,90.0,top
Q3,8.489,-80.865,270.0,top
Q4,-6.2938,-74.3626,270.0,top
Q5,14.1125,-22.25,0.0,top
Q6,1.1625,-44.05,0.0,top
Q7,9.548895,-2.6589,90.0,top
R1,-1.0,-79.3,270.0,top
R10,-7.8432,-69.4096,180.0,top
R11,1.4,-21.15,90.0,top
R12,-0.85,-35.175,90.0,top
R13,-7.85,-18.35,270.0,top
R15,10.8,-38.0,0.0,top
R16,-12.7,-33.0,270.0,top
R17,11.225,-17.7,0.0,top
R18,5.175,-13.4,180.0,top
R19,13.4,-15.8,180.0,top
R2,5.45,-95.75,0.0,top
R20,7.6,-31.9464,270.0,top
R21,-7.45,-2.75,180.0,top
R22,-7.45,-5.65,180.0,top
R23,8.8,-22.25,270.0,top
R24,-7.45,-1.1864,180.0,top
R25,6.198895,-2.6964,270.0,top
R26,-4.996105,-43.0864,180.0,top
R27,-10.85,-33.0,270.0,top
R3,-4.973,-69.7906,270.0,top
R4,6.5,-70.0,270.0,top
R5,9.0,-77.5,180.0,top
R6,2.15,-63.0,180.0,top
R7,-8.148,-86.2362,270.0,top
R8,-0.15,-21.15,90.0,top
R9,-7.5,-82.75,0.0,top
SW1,16.4125,-48.4,90.0,top
SW2,-15.9,-48.4,90.0,top
SW3,-3.1188,-87.2912,90.0,top
SW4,-7.65,-12.5,0.0,top
SW5,17.968895,-30.7,90.0,top
SW6,9.448895,-2.0564,0.0,bottom
T1,4.552,-80.611,90.0,top
T2,-7.259,-78.198,180.0,top
U1,-0.65,-28.6,0.0,top
U2,-6.6,-21.35,0.0,top
U3,7.45,-10.65,180.0,top
U4,9.4,-13.75,180.0,top
U5,18.05,-21.9,90.0,top
U6,12.65,-30.0625,90.0,top
U7,7.248895,-6.6964,90.0,top
Y1,-2.15,-39.875,0.0,top
